Divide and Conquer - Query 37: id=102852, x=74.25, y=142.66
Sequential Scan - Query 38: id=117256, x=28.59, y=110.83
Best First - Query 38: id=117256, x=28.59, y=110.83
Divide and Conquer - Query 38: id=117256, x=28.59, y=110.83
Sequential Scan - Query 39: id=121623, x=6.54, y=121.53
Best First - Query 39: id=121623, x=6.54, y=121.53
Divide and Conquer - Query 39: id=121623, x=6.54, y=121.53
Sequential Scan - Query 40: id=31225, x=80.22, y=94.77
Best First - Query 40: id=31225, x=80.22, y=94.77
Divide and Conquer - Query 40: id=31225, x=80.22, y=94.77
Sequential Scan - Query 41: id=83187, x=71.61, y=88.05
Best First - Query 41: id=83187, x=71.61, y=88.05
Divide and Conquer - Query 41: id=83187, x=71.61, y=88.05
Sequential Scan - Query 42: id=101155, x=36.32, y=158.75
Best First - Query 42: id=101155, x=36.32, y=158.75
Divide and Conquer - Query 42: id=101155, x=36.32, y=158.75
Sequential Scan - Query 43: id=110381, x=18.92, y=104.03
Best First - Query 43: id=110381, x=18.92, y=104.03
Divide and Conquer - Query 43: id=110381, x=18.92, y=104.03
Sequential Scan - Query 44: id=33209, x=6.52, y=116.30
Best First - Query 44: id=33209, x=6.52, y=116.30
Divide and Conquer - Query 44: id=33209, x=6.52, y=116.30
Sequential Scan - Query 45: id=149011, x=62.36, y=119.54
Best First - Query 45: id=149011, x=62.36, y=119.54
Divide and Conquer - Query 45: id=149011, x=62.36, y=119.54
Sequential Scan - Query 46: id=91448, x=52.83, y=158.08
Best First - Query 46: id=91448, x=52.83, y=158.08
Divide and Conquer - Query 46: id=91448, x=52.83, y=158.08
Sequential Scan - Query 47: id=12265, x=47.02, y=158.15
Best First - Query 47: id=12265, x=47.02, y=158.15
Divide and Conquer - Query 47: id=12265, x=47.02, y=158.15
Sequential Scan - Query 48: id=33448, x=6.97, y=136.25
Best First - Query 48: id=33448, x=6.97, y=136.25
Divide and Conquer - Query 48: id=33448, x=6.97, y=136.25
Sequential Scan - Query 49: id=93787, x=36.87, y=119.32
Best First - Query 49: id=93787, x=36.87, y=119.32
Divide and Conquer - Query 49: id=93787, x=36.87, y=119.32
